ИД_СТД;ИД_СПЦ;ФАМ;ИМЯ;ОТЧ;СТИП;БАЛЛ
1;1;Иванов;Дмитрий;Алексеевич;2000;85
2;1;Петров;Денис;Сергеевич;2000;72
3;1;Сидоров;Дмитрий;Викторович;2000;68
4;1;Шарипов;Дамир;Фаридович;5000;92
5;2;Козлов;Анна;Петровна;2000;78
6;2;Смирнова;Елена;Ивановна;2500;89
7;2;Васильев;Дмитрий;Павлович;2000;76
8;3;Морозов;Татьяна;Васильевна;2000;83
9;3;Новиков;Игорь;Михайлович;5000;91
10;4;Федоров;Мария;Александровна;2500;87
11;4;Попова;Ольга;Сергеевна;2000;74
12;4;Лебедев;Тимур;Николаевич;2000;69
13;5;Григорьев;Дмитрий;Олегович;5000;95
14;5;Кузнецов;Виктория;Дмитриевна;2500;81
15;6;Соколов;Алексей;Иванович;2000;77
16;6;Соколова;Марина;Петровна;2000;84
17;7;Михайлов;Дмитрий;Анатольевич;2000;73
18;7;Романова;Диана;Викторовна;2500;88
19;7;Титова;Екатерина;Сергеевна;2000;79
20;8;Белов;Денис;Михайлович;5000;93
21;8;Зайцев;Ирина;Александровна;2000;71
22;9;Степанов;Дмитрий;Владимирович;2500;86
23;9;Павлова;Татьяна;Ивановна;1500;67
24;10;Семенов;Дмитрий;Петрович;2000;82
25;10;Егоров;Максим;Сергеевич;2000;75
26;11;Кузьмин;Денис;Алексеевич;5000;90
27;11;Николаева;Валерия;Дмитриевна;2500;80
28;12;Орлов;Дмитрий;Викторович;2000;70
29;12;Волкова;Анастасия;Павловна;3000;94
30;13;Комаров;Тимур;Александрович;5000;96
31;13;Абрамова;Диана;Сергеевна;1500;66
32;14;Алексеев;Дмитрий;Николаевич;2000;78
33;14;Борисова;Елена;Викторовна;2500;85
34;15;Быков;Иван;Петрович;2000;72
35;15;Гаврилова;Татьяна;Алексеевна;2500;89
36;16;Горбунов;Дмитрий;Сергеевич;2000;76
37;16;Дмитриева;Ольга;Ивановна;2500;83
38;17;Ермаков;Тимур;Михайлович;5000;91
39;17;Жукова;Мария;Владимировна;2000;74
40;18;Зиновьев;Денис;Анатольевич;2500;87
41;18;Киселева;Анна;Петровна;2000;69
42;1;Ларионов;Дмитрий;Олегович;3000;92
43;2;Медведева;Ирина;Сергеевна;2500;80
44;3;Назаров;Тимур;Дмитриевич;5000;88
45;4;Осипова;Екатерина;Алексеевна;2000;77
46;5;Поляков;Дмитрий;Викторович;2500;84
47;6;Ростова;Диана;Николаевна;2000;71
48;7;Савельев;Игорь;Павлович;2000;79
49;8;Тарасова;Валерия;Михайловна;3000;86
50;9;Уварова;Татьяна;Александровна;2000;73
