Код покупателя;Фамилия;Имя;Отчество;Город;Адрес;Страна
1;Иванов;Сергей;Петрович;Москва;ул. Тверская, д.1;Россия
2;Петров;Иван;Алексеевич;Москва;пр-т Мира, д.10;Россия
3;Сидоров;Николай;Игоревич;Москва;ул. Арбат, д.5;Россия
4;Кузнецов;Павел;Сергеевич;Москва;ул. Новая, д.7;Россия
5;Смирнов;Андрей;Викторович;Москва;ул. Ленина, д.3;Россия
6;Фёдоров;Олег;Иванович;Новосибирск;ул. Красный проспект, д.12;Россия
7;Егоров;Дмитрий;Александрович;Новосибирск;ул. Сибирская, д.4;Россия
8;Алексеев;Роман;Олегович;Новосибирск;ул. Учительская, д.9;Россия
9;Морозов;Антон;Павлович;Новосибирск;ул. Гоголя, д.2;Россия
10;Николаев;Игорь;Сергеевич;Новосибирск;ул. Кирова, д.6;Россия
11;Павлов;Владимир;Игоревич;Киев;ул. Крещатик, д.1;Украина
12;Орлов;Степан;Иванович;Киев;ул. Победы, д.15;Украина
13;Зайцев;Михаил;Петрович;Киев;ул. Саксаганского, д.8;Украина
14;Громов;Юрий;Андреевич;Киев;ул. Городецкого, д.3;Украина
15;Данилов;Артём;Сергеевич;Киев;ул. Леси Украинки, д.11;Украина
16;Борисов;Константин;Олегович;Минск;пр-т Независимости, д.5;Беларусь
17;Лебедев;Алексей;Владимирович;Минск;ул. Ленина, д.9;Беларусь
18;Жуков;Пётр;Александрович;Алматы;пр-т Абая, д.20;Казахстан
19;Князев;Максим;Дмитриевич;Алматы;ул. Назарбаева, д.7;Казахстан
20;Ильин;Руслан;Игоревич;Рига;ул. Бривибас, д.13;Латвия
